Year,Theme_Park,GuestPassedAway,Hospital,PreExisting,LoseConsciousness,ChestPain,Seizure,PhysicalPain,MotionSickness
2012,"Typhoon Lagoon",1,0,0,2,1,0,2,0
2011,"Typhoon Lagoon",0,0,0,0,0,0,3,0
2018,"Blizzard Beach",1,0,1,0,0,0,0,0
2020,"Hollywood Studios",0,0,1,0,0,1,1,0
2006,Epcot,1,1,0,0,0,1,1,2
2004,Epcot,0,0,0,1,1,0,0,1
2013,Epcot,0,0,0,2,0,1,0,1
2010,Epcot,0,0,0,0,2,0,1,4
2020,Epcot,0,0,2,0,0,0,0,0
2019,Epcot,0,0,1,1,0,0,1,2
2018,Epcot,0,0,2,1,1,0,0,1
2008,Epcot,0,0,0,0,0,0,1,1
2014,Epcot,0,0,1,0,1,0,3,1
2020,"Volcano Bay",0,0,0,1,0,0,1,0
2005,"Magic Kingdom",1,1,0,1,1,0,1,0
2005,"Universal Studios",0,0,0,1,0,0,0,1
2008,"Universal Studios",0,0,0,0,2,0,0,0
2007,"Universal Studios",0,0,0,0,1,0,1,0
2007,"Hollywood Studios",0,0,0,0,1,0,1,1
2006,"Hollywood Studios",1,1,0,1,0,0,1,2
2019,"Hollywood Studios",0,0,5,0,2,2,1,3
2017,"Hollywood Studios",0,0,3,0,0,0,0,6
2021,"Hollywood Studios",0,0,0,1,0,0,2,1
2012,"Hollywood Studios",0,0,0,1,0,0,0,2
2009,"Hollywood Studios",0,0,0,1,2,2,1,1
2002,Epcot,0,0,0,0,0,0,0,0
2018,"Hollywood Studios",0,0,1,0,1,0,0,0
2013,"Hollywood Studios",0,0,1,0,1,0,0,0
2009,"Typhoon Lagoon",0,0,0,0,0,0,1,0
2010,"Typhoon Lagoon",0,1,0,2,0,0,0,0
2006,"Blizzard Beach",0,0,0,0,0,0,0,0
2002,"Typhoon Lagoon",0,0,0,0,0,0,0,0
2005,"Typhoon Lagoon",1,1,0,0,0,0,1,1
2003,"Typhoon Lagoon",1,0,0,0,0,0,1,0
2016,"Typhoon Lagoon",0,0,0,0,0,0,1,0
2021,"Blizzard Beach",0,0,0,0,0,0,1,0
2009,"Blizzard Beach",0,0,0,0,0,0,1,0
2005,"Islands of Adventure",0,0,0,1,0,0,0,0
2003,"Hollywood Studios",0,0,0,0,1,0,0,0
2002,"Hollywood Studios",0,0,0,0,0,0,0,0
